00754,"18.187584",-65.962389,San Lorenzo,PR,San Lorenzo
00757,"17.991233",-66.395543,Santa Isabel,PR,Santa Isabel
00765,"18.123347",-65.460356,Vieques,PR,Vieques
00766,"18.120519",-66.496607,Villalba,PR,Villalba
00767,"18.045522",-65.886988,Yabucoa,PR,Yabucoa
00769,"18.095992",-66.35081,Coamo,PR,Coamo
00771,"18.196576",-65.87197,Las Piedras,PR,Las Piedras
00772,"18.447406",-65.899357,Loiza,PR,Loiza
00773,"18.366027",-65.708138,Luquillo,PR,Luquillo
00775,"18.323736",-65.296467,Culebra,PR,Culebra
00777,"18.206489",-65.901774,Juncos,PR,Juncos
00778,"18.259092",-65.974641,Gurabo,PR,Gurabo
00780,"18.001995",-66.607429,Coto Laurel,PR,Ponce
00782,"18.224958",-66.219885,Comerio,PR,Comerio
00783,"18.304369",-66.330525,Corozal,PR,Corozal
00784,"17.99229",-66.139253,Guayama,PR,Guayama
00785,"18.018822",-66.795603,Guayama,PR,Guayanilla
00786,"18.128092",-66.268717,La Plata,PR,Aibonito
00791,"18.138029",-65.788499,Humacao,PR,Humacao
00792,"18.138029",-65.788499,Humacao,PR,Humacao
00794,"18.200898",-66.307236,Barranquitas,PR,Barranquitas
00795,"17.997367",-66.493218,Juana Diaz,PR,Juana Diaz
00901,"18.465901",-66.103568,San Juan,PR,San Juan
00902,"18.410462",-66.060533,San Juan,PR,San Juan
00906,"18.410462",-66.060533,San Juan,PR,San Juan
00907,"18.451647",-66.077003,San Juan,PR,San Juan
00908,"18.410462",-66.060533,San Juan,PR,San Juan
00909,"18.443384",-66.068133,San Juan,PR,San Juan
00910,"18.410462",-66.060533,San Juan,PR,San Juan
00911,"18.450828",-66.057859,San Juan,PR,San Juan
00912,"18.444187",-66.059859,San Juan,PR,San Juan
00913,"18.450735",-66.043352,San Juan,PR,San Juan
00914,"18.410462",-66.060533,San Juan,PR,San Juan
00915,"18.437896",-66.048087,San Juan,PR,San Juan
00916,"18.410462",-66.060533,San Juan,PR,San Juan
00917,"18.422018",-66.050602,San Juan,PR,San Juan
00918,"18.419069",-66.062319,San Juan,PR,San Juan
00919,"18.410462",-66.060533,San Juan,PR,San Juan
00920,"18.406808",-66.091885,San Juan,PR,San Juan
00921,"18.390429",-66.066124,San Juan,PR,San Juan
00922,"18.410462",-66.060533,San Juan,PR,San Juan
00923,"18.410775",-66.036708,San Juan,PR,San Juan
00924,"18.396392",-66.01146,San Juan,PR,San Juan
00925,"18.401055",-66.049773,San Juan,PR,San Juan
00926,"18.369376",-66.062804,San Juan,PR,San Juan
00927,"18.385174",-66.071959,San Juan,PR,San Juan
00928,"18.410462",-66.060533,San Juan,PR,San Juan
00929,"18.410462",-66.060533,San Juan,PR,San Juan
00930,"18.410462",-66.060533,San Juan,PR,San Juan
00931,"18.410462",-66.060533,San Juan,PR,San Juan
00933,"18.410462",-66.060533,San Juan,PR,San Juan
00934,"18.34487",-66.166014,Fort Buchanan,PR,Bayamon
00935,"18.410462",-66.060533,San Juan,PR,San Juan
00936,"18.410462",-66.060533,San Juan,PR,San Juan
00937,"18.410462",-66.060533,San Juan,PR,San Juan
00938,"18.410462",-66.060533,San Juan,PR,San Juan
00939,"18.410462",-66.060533,San Juan,PR,San Juan
00940,"18.410462",-66.060533,San Juan,PR,San Juan
00949,"18.431911",-66.199692,Toa Baja,PR,Toa Baja
00950,"18.457761",-66.196503,Toa Baja,PR,Toa Baja
00951,"18.457761",-66.196503,Toa Baja,PR,Toa Baja
00952,"18.457761",-66.196503,Sabana Seca,PR,Toa Baja
00953,"18.356795",-66.25701,Toa Alta,PR,Toa Alta
00954,"18.358939",-66.258108,Toa Alta,PR,Toa Alta
00955,"18.410462",-66.060533,San Juan,PR,San Juan
00956,"18.326702",-66.174176,Bayamon,PR,Bayamon
00957,"18.366645",-66.183907,Bayamon,PR,Bayamon
00958,"18.34487",-66.166014,Bayamon,PR,Bayamon
00959,"18.387058",-66.159044,Bayamon,PR,Bayamon
00960,"18.34487",-66.166014,Bayamon,PR,Bayamon
00961,"18.413195",-66.168651,Bayamon,PR,Bayamon
00962,"18.437644",-66.140407,Catano,PR,Catano
00963,"18.443217",-66.139293,Catano,PR,Catano
00965,"18.428784",-66.11539,Guaynabo,PR,Guaynabo
00966,"18.396815",-66.114889,Guaynabo,PR,Guaynabo
00968,"18.410462",-66.060533,Guaynabo,PR,San Juan
00969,"18.362322",-66.113729,Guaynabo,PR,Guaynabo
00970,"18.359143",-66.112295,Guaynabo,PR,Guaynabo
00971,"18.30942",-66.113606,Guaynabo,PR,Guaynabo
00975,"18.410462",-66.060533,San Juan,PR,San Juan
00976,"18.338133",-65.989229,Trujillo Alto,PR,Trujillo Alto
00977,"18.337004",-65.990099,Trujillo Alto,PR,Trujillo Alto
00978,"18.337004",-65.990099,Saint Just Contract,PR,Trujillo Alto
00979,"18.410462",-66.060533,Carolina,PR,San Juan
00981,"18.410462",-66.060533,Carolina,PR,San Juan
00982,"18.410462",-66.060533,Carolina,PR,San Juan
00983,"18.413452",-65.977659,Carolina,PR,Carolina
00984,"18.393355",-65.972495,Carolina,PR,Carolina
00985,"18.345741",-65.93888,Carolina,PR,Carolina
00986,"18.393355",-65.972495,Carolina,PR,Carolina
00987,"18.373466",-65.959932,Carolina,PR,Carolina
00988,"18.393355",-65.972495,Carolina,PR,Carolina
00601,"18.165273",-66.722583,Adjuntas,PR,Adjuntas
00602,"18.393103",-67.180953,Aguada,PR,Aguada
00603,"18.455913",-67.14578,Aguadilla,PR,Aguadilla
00604,"18.49352",-67.135883,Aguadilla,PR,Aguadilla
00605,"18.465162",-67.141486,Aguadilla,PR,Aguadilla
00606,"18.172947",-66.944111,Maricao,PR,Maricao
00610,"18.288685",-67.139696,Anasco,PR,Anasco
00611,"18.279531",-66.80217,Angeles,PR,Utuado
00612,"18.450674",-66.698262,Arecibo,PR,Arecibo
00613,"18.458093",-66.732732,Arecibo,PR,Arecibo
00614,"18.429675",-66.674506,Arecibo,PR,Arecibo
00616,"18.444792",-66.640678,Bajadero,PR,Arecibo
00617,"18.447092",-66.544255,Barceloneta,PR,Barceloneta
00622,"17.998531",-67.187318,Boqueron,PR,Cabo Rojo
00623,"18.062201",-67.149541,Cabo Rojo,PR,Cabo Rojo
00624,"18.023535",-66.726156,Penuelas,PR,Penuelas
00627,"18.477891",-66.85477,Camuy,PR,Camuy
00631,"18.269187",-66.864993,Castaner,PR,Lares
00636,"18.113284",-67.039706,Rosario,PR,San German
00637,"18.087322",-66.934911,Sabana Grande,PR,Sabana Grande
00638,"18.33616",-66.472087,Ciales,PR,Ciales
00641,"18.250027",-66.698957,Utuado,PR,Utuado
00646,"18.43606",-66.281954,Dorado,PR,Dorado
00647,"17.969594",-66.939754,Ensenada,PR,Guanica
00650,"18.360125",-66.562311,Florida,PR,Florida
00652,"18.457254",-66.603358,Garrochales,PR,Arecibo
00653,"17.972468",-66.898661,Guanica,PR,Guanica
00656,"18.02328",-66.786909,Guayanilla,PR,Guayanilla
00659,"18.481391",-66.808696,Hatillo,PR,Hatillo
00660,"18.145486",-67.135323,Hormigueros,PR,Hormigueros
00662,"18.480285",-67.028155,Isabela,PR,Isabela
00664,"18.217606",-66.598306,Jayuya,PR,Jayuya
00667,"18.015099",-67.055973,Lajas,PR,Lajas
00669,"18.295952",-66.881925,Lares,PR,Lares
00670,"18.252135",-66.990967,Las Marias,PR,Las Marias
00674,"18.44553",-66.490268,Manati,PR,Manati
00676,"18.383727",-67.080799,Moca,PR,Moca
00677,"18.335781",-67.252547,Rincon,PR,Rincon
00678,"18.45303",-66.933689,Quebradillas,PR,Quebradillas
00680,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00681,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00682,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00683,"18.113284",-67.039706,San German,PR,San German
00685,"18.3236",-66.972227,San Sebastian,PR,San Sebastian
00687,"18.316976",-66.415207,Morovis,PR,Morovis
00688,"18.429675",-66.674506,Sabana Hoyos,PR,Arecibo
00690,"18.476196",-67.139597,San Antonio,PR,Aguadilla
00692,"18.435818",-66.338523,Vega Alta,PR,Vega Alta
00693,"18.443109",-66.398302,Vega Baja,PR,Vega Baja
00694,"18.443109",-66.398302,Vega Baja,PR,Vega Baja
00698,"18.06104",-66.861164,Yauco,PR,Yauco
00703,"18.250398",-66.12845,Aguas Buenas,PR,Aguas Buenas
00704,"17.99229",-66.139253,Aguirre,PR,Guayama
00705,"18.128092",-66.268717,Aibonito,PR,Aibonito
00707,"18.007014",-65.898719,Maunabo,PR,Maunabo
00714,"17.96751",-66.04138,Arroyo,PR,Arroyo
00715,"18.011854",-66.563721,Mercedita,PR,Ponce
00716,"18.001995",-66.607429,Ponce,PR,Ponce
00717,"18.001995",-66.607429,Ponce,PR,Ponce
00718,"18.22139",-65.77831,Naguabo,PR,Naguabo
00719,"18.298017",-66.229751,Naranjito,PR,Naranjito
00720,"18.226862",-66.39402,Orocovis,PR,Orocovis
00721,"18.364161",-65.778288,Palmer,PR,Rio Grande
00723,"18.009994",-66.010572,Patillas,PR,Patillas
00725,"18.212965",-66.058033,Caguas,PR,Caguas
00726,"18.212965",-66.058033,Caguas,PR,Caguas
00727,"18.212965",-66.058033,Caguas,PR,Caguas
00728,"18.001995",-66.607429,Ponce,PR,Ponce
00729,"18.333093",-65.883864,Canovanas,PR,Canovanas
00730,"18.001995",-66.607429,Ponce,PR,Ponce
00731,"18.03831",-66.626344,Ponce,PR,Ponce
00732,"18.021781",-66.613742,Ponce,PR,Ponce
00733,"18.019331",-66.619165,Ponce,PR,Ponce
00734,"17.999499",-66.643934,Ponce,PR,Ponce
00735,"18.264872",-65.594769,Ceiba,PR,Ceiba
00736,"18.102967",-66.139274,Cayey,PR,Cayey
00737,"18.102967",-66.139274,Cayey,PR,Cayey
00738,"18.359381",-65.611361,Fajardo,PR,Fajardo
00739,"18.181469",-66.169519,Cidra,PR,Cidra
00740,"18.331958",-65.63878,Puerto Real,PR,Fajardo
00741,"18.162156",-65.753485,Punta Santiago,PR,Humacao
00742,"18.264872",-65.594769,Roosevelt Roads,PR,Ceiba
00744,"18.206329",-65.743058,Rio Blanco,PR,Naguabo
00745,"18.367347",-65.816583,Rio Grande,PR,Rio Grande
00751,"17.99852",-66.264825,Salinas,PR,Salinas
00754,"18.187584",-65.962389,San Lorenzo,PR,San Lorenzo
00757,"17.991233",-66.395543,Santa Isabel,PR,Santa Isabel
00765,"18.123347",-65.460356,Vieques,PR,Vieques
00766,"18.120519",-66.496607,Villalba,PR,Villalba
00767,"18.045522",-65.886988,Yabucoa,PR,Yabucoa
00769,"18.095992",-66.35081,Coamo,PR,Coamo
00771,"18.196576",-65.87197,Las Piedras,PR,Las Piedras
00772,"18.447406",-65.899357,Loiza,PR,Loiza
00773,"18.366027",-65.708138,Luquillo,PR,Luquillo
00775,"18.323736",-65.296467,Culebra,PR,Culebra
00777,"18.206489",-65.901774,Juncos,PR,Juncos
00778,"18.259092",-65.974641,Gurabo,PR,Gurabo
00780,"18.001995",-66.607429,Coto Laurel,PR,Ponce
00782,"18.224958",-66.219885,Comerio,PR,Comerio
00783,"18.304369",-66.330525,Corozal,PR,Corozal
00784,"17.99229",-66.139253,Guayama,PR,Guayama
00785,"18.018822",-66.795603,Guayama,PR,Guayanilla
00786,"18.128092",-66.268717,La Plata,PR,Aibonito
00791,"18.138029",-65.788499,Humacao,PR,Humacao
00792,"18.138029",-65.788499,Humacao,PR,Humacao
00794,"18.200898",-66.307236,Barranquitas,PR,Barranquitas
00795,"17.997367",-66.493218,Juana Diaz,PR,Juana Diaz
00901,"18.465901",-66.103568,San Juan,PR,San Juan
00902,"18.410462",-66.060533,San Juan,PR,San Juan
00906,"18.410462",-66.060533,San Juan,PR,San Juan
00907,"18.451647",-66.077003,San Juan,PR,San Juan
00908,"18.410462",-66.060533,San Juan,PR,San Juan
00909,"18.443384",-66.068133,San Juan,PR,San Juan
00910,"18.410462",-66.060533,San Juan,PR,San Juan
00911,"18.450828",-66.057859,San Juan,PR,San Juan
00912,"18.444187",-66.059859,San Juan,PR,San Juan
00913,"18.450735",-66.043352,San Juan,PR,San Juan
00914,"18.410462",-66.060533,San Juan,PR,San Juan
00915,"18.437896",-66.048087,San Juan,PR,San Juan
00916,"18.410462",-66.060533,San Juan,PR,San Juan
00917,"18.422018",-66.050602,San Juan,PR,San Juan
00918,"18.419069",-66.062319,San Juan,PR,San Juan
00919,"18.410462",-66.060533,San Juan,PR,San Juan
00920,"18.406808",-66.091885,San Juan,PR,San Juan
00921,"18.390429",-66.066124,San Juan,PR,San Juan
00922,"18.410462",-66.060533,San Juan,PR,San Juan
00923,"18.410775",-66.036708,San Juan,PR,San Juan
00924,"18.396392",-66.01146,San Juan,PR,San Juan
00925,"18.401055",-66.049773,San Juan,PR,San Juan
00926,"18.369376",-66.062804,San Juan,PR,San Juan
00927,"18.385174",-66.071959,San Juan,PR,San Juan
00928,"18.410462",-66.060533,San Juan,PR,San Juan
00929,"18.410462",-66.060533,San Juan,PR,San Juan
00930,"18.410462",-66.060533,San Juan,PR,San Juan
00931,"18.410462",-66.060533,San Juan,PR,San Juan
00933,"18.410462",-66.060533,San Juan,PR,San Juan
00934,"18.34487",-66.166014,Fort Buchanan,PR,Bayamon
00935,"18.410462",-66.060533,San Juan,PR,San Juan
00936,"18.410462",-66.060533,San Juan,PR,San Juan
00937,"18.410462",-66.060533,San Juan,PR,San Juan
00938,"18.410462",-66.060533,San Juan,PR,San Juan
00939,"18.410462",-66.060533,San Juan,PR,San Juan
00940,"18.410462",-66.060533,San Juan,PR,San Juan
00949,"18.431911",-66.199692,Toa Baja,PR,Toa Baja
00950,"18.457761",-66.196503,Toa Baja,PR,Toa Baja
00951,"18.457761",-66.196503,Toa Baja,PR,Toa Baja
00952,"18.457761",-66.196503,Sabana Seca,PR,Toa Baja
00953,"18.356795",-66.25701,Toa Alta,PR,Toa Alta
00954,"18.358939",-66.258108,Toa Alta,PR,Toa Alta
00955,"18.410462",-66.060533,San Juan,PR,San Juan
00956,"18.326702",-66.174176,Bayamon,PR,Bayamon
00957,"18.366645",-66.183907,Bayamon,PR,Bayamon
00958,"18.34487",-66.166014,Bayamon,PR,Bayamon
00959,"18.387058",-66.159044,Bayamon,PR,Bayamon
00960,"18.34487",-66.166014,Bayamon,PR,Bayamon
00961,"18.413195",-66.168651,Bayamon,PR,Bayamon
00962,"18.437644",-66.140407,Catano,PR,Catano
00963,"18.443217",-66.139293,Catano,PR,Catano
00965,"18.428784",-66.11539,Guaynabo,PR,Guaynabo
00966,"18.396815",-66.114889,Guaynabo,PR,Guaynabo
00968,"18.410462",-66.060533,Guaynabo,PR,San Juan
00969,"18.362322",-66.113729,Guaynabo,PR,Guaynabo
00970,"18.359143",-66.112295,Guaynabo,PR,Guaynabo
00971,"18.30942",-66.113606,Guaynabo,PR,Guaynabo
00975,"18.410462",-66.060533,San Juan,PR,San Juan
00976,"18.338133",-65.989229,Trujillo Alto,PR,Trujillo Alto
00977,"18.337004",-65.990099,Trujillo Alto,PR,Trujillo Alto
00978,"18.337004",-65.990099,Saint Just Contract,PR,Trujillo Alto
00979,"18.410462",-66.060533,Carolina,PR,San Juan
00981,"18.410462",-66.060533,Carolina,PR,San Juan
00982,"18.410462",-66.060533,Carolina,PR,San Juan
00983,"18.413452",-65.977659,Carolina,PR,Carolina
00984,"18.393355",-65.972495,Carolina,PR,Carolina
00985,"18.345741",-65.93888,Carolina,PR,Carolina
00986,"18.393355",-65.972495,Carolina,PR,Carolina
00987,"18.373466",-65.959932,Carolina,PR,Carolina
00988,"18.393355",-65.972495,Carolina,PR,Carolina
00601,"18.165273",-66.722583,Adjuntas,PR,Adjuntas
00602,"18.393103",-67.180953,Aguada,PR,Aguada
00603,"18.455913",-67.14578,Aguadilla,PR,Aguadilla
00604,"18.49352",-67.135883,Aguadilla,PR,Aguadilla
00605,"18.465162",-67.141486,Aguadilla,PR,Aguadilla
00606,"18.172947",-66.944111,Maricao,PR,Maricao
00610,"18.288685",-67.139696,Anasco,PR,Anasco
00611,"18.279531",-66.80217,Angeles,PR,Utuado
00612,"18.450674",-66.698262,Arecibo,PR,Arecibo
00613,"18.458093",-66.732732,Arecibo,PR,Arecibo
00614,"18.429675",-66.674506,Arecibo,PR,Arecibo
00616,"18.444792",-66.640678,Bajadero,PR,Arecibo
00617,"18.447092",-66.544255,Barceloneta,PR,Barceloneta
00622,"17.998531",-67.187318,Boqueron,PR,Cabo Rojo
00623,"18.062201",-67.149541,Cabo Rojo,PR,Cabo Rojo
00624,"18.023535",-66.726156,Penuelas,PR,Penuelas
00627,"18.477891",-66.85477,Camuy,PR,Camuy
00631,"18.269187",-66.864993,Castaner,PR,Lares
00636,"18.113284",-67.039706,Rosario,PR,San German
00637,"18.087322",-66.934911,Sabana Grande,PR,Sabana Grande
00638,"18.33616",-66.472087,Ciales,PR,Ciales
00641,"18.250027",-66.698957,Utuado,PR,Utuado
00646,"18.43606",-66.281954,Dorado,PR,Dorado
00647,"17.969594",-66.939754,Ensenada,PR,Guanica
00650,"18.360125",-66.562311,Florida,PR,Florida
00652,"18.457254",-66.603358,Garrochales,PR,Arecibo
00653,"17.972468",-66.898661,Guanica,PR,Guanica
00656,"18.02328",-66.786909,Guayanilla,PR,Guayanilla
00659,"18.481391",-66.808696,Hatillo,PR,Hatillo
00660,"18.145486",-67.135323,Hormigueros,PR,Hormigueros
00662,"18.480285",-67.028155,Isabela,PR,Isabela
00664,"18.217606",-66.598306,Jayuya,PR,Jayuya
00667,"18.015099",-67.055973,Lajas,PR,Lajas
00669,"18.295952",-66.881925,Lares,PR,Lares
00670,"18.252135",-66.990967,Las Marias,PR,Las Marias
00674,"18.44553",-66.490268,Manati,PR,Manati
00676,"18.383727",-67.080799,Moca,PR,Moca
00677,"18.335781",-67.252547,Rincon,PR,Rincon
00678,"18.45303",-66.933689,Quebradillas,PR,Quebradillas
00680,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00681,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00682,"18.219023",-67.508068,Mayaguez,PR,Mayaguez
00683,"18.113284",-67.039706,San German,PR,San German
00685,"18.3236",-66.972227,San Sebastian,PR,San Sebastian
00687,"18.316976",-66.415207,Morovis,PR,Morovis
00688,"18.429675",-66.674506,Sabana Hoyos,PR,Arecibo
00690,"18.476196",-67.139597,San Antonio,PR,Aguadilla
00692,"18.435818",-66.338523,Vega Alta,PR,Vega Alta
00693,"18.443109",-66.398302,Vega Baja,PR,Vega Baja
00694,"18.443109",-66.398302,Vega Baja,PR,Vega Baja
00698,"18.06104",-66.861164,Yauco,PR,Yauco
00703,"18.250398",-66.12845,Aguas Buenas,PR,Aguas Buenas
00704,"17.99229",-66.139253,Aguirre,PR,Guayama
00705,"18.128092",-66.268717,Aibonito,PR,Aibonito
00707,"18.007014",-65.898719,Maunabo,PR,Maunabo
00714,"17.96751",-66.04138,Arroyo,PR,Arroyo
00715,"18.011854",-66.563721,Mercedita,PR,Ponce
00716,"18.001995",-66.607429,Ponce,PR,Ponce
00717,"18.001995",-66.607429,Ponce,PR,Ponce
00718,"18.22139",-65.77831,Naguabo,PR,Naguabo
00719,"18.298017",-66.229751,Naranjito,PR,Naranjito
00720,"18.226862",-66.39402,Orocovis,PR,Orocovis
00721,"18.364161",-65.778288,Palmer,PR,Rio Grande
00723,"18.009994",-66.010572,Patillas,PR,Patillas
00725,"18.212965",-66.058033,Caguas,PR,Caguas
00726,"18.212965",-66.058033,Caguas,PR,Caguas
00727,"18.212965",-66.058033,Caguas,PR,Caguas
00728,"18.001995",-66.607429,Ponce,PR,Ponce
00729,"18.333093",-65.883864,Canovanas,PR,Canovanas
00730,"18.001995",-66.607429,Ponce,PR,Ponce
00731,"18.03831",-66.626344,Ponce,PR,Ponce
00732,"18.021781",-66.613742,Ponce,PR,Ponce
00733,"18.019331",-66.619165,Ponce,PR,Ponce
00734,"17.999499",-66.643934,Ponce,PR,Ponce
00735,"18.264872",-65.594769,Ceiba,PR,Ceiba
00736,"18.102967",-66.139274,Cayey,PR,Cayey
00737,"18.102967",-66.139274,Cayey,PR,Cayey
00738,"18.359381",-65.611361,Fajardo,PR,Fajardo
00739,"18.181469",-66.169519,Cidra,PR,Cidra
00740,"18.331958",-65.63878,Puerto Real,PR,Fajardo
00741,"18.162156",-65.753485,Punta Santiago,PR,Humacao
00742,"18.264872",-65.594769,Roosevelt Roads,PR,Ceiba
00744,"18.206329",-65.743058,Rio Blanco,PR,Naguabo
00745,"18.367347",-65.816583,Rio Grande,PR,Rio Grande
00751,"17.99852",-66.264825,Salinas,PR,Salinas
00754,"18.187584",-65.962389,San Lorenzo,PR,San Lorenzo
00757,"17.991233",-66.395543,Santa Isabel,PR,Santa Isabel
00765,"18.123347",-65.460356,Vieques,PR,Vieques
00766,"18.120519",-66.496607,Villalba,PR,Villalba
00767,"18.045522",-65.886988,Yabucoa,PR,Yabucoa
00769,"18.095992",-66.35081,Coamo,PR,Coamo
00771,"18.196576",-65.87197,Las Piedras,PR,Las Piedras
00772,"18.447406",-65.899357,Loiza,PR,Loiza
00773,"18.366027",-65.708138,Luquillo,PR,Luquillo
00775,"18.323736",-65.296467,Culebra,PR,Culebra
00777,"18.206489",-65.901774,Juncos,PR,Juncos
00778,"18.259092",-65.974641,Gurabo,PR,Gurabo
00780,"18.001995",-66.607429,Coto Laurel,PR,Ponce
00782,"18.224958",-66.219885,Comerio,PR,Comerio
00783,"18.304369",-66.330525,Corozal,PR,Corozal
00784,"17.99229",-66.139253,Guayama,PR,Guayama
00785,"18.018822",-66.795603,Guayama,PR,Guayanilla
00786,"18.128092",-66.268717,La Plata,PR,Aibonito
00791,"18.138029",-65.788499,Humacao,PR,Humacao
00792,"18.138029",-65.788499,Humacao,PR,Humacao
00794,"18.200898",-66.307236,Barranquitas,PR,Barranquitas
00795,"17.997367",-66.493218,Juana Diaz,PR,Juana Diaz
00901,"18.465901",-66.103568,San Juan,PR,San Juan
00902,"18.410462",-66.060533,San Juan,PR,San Juan
00906,"18.410462",-66.060533,San Juan,PR,San Juan
00907,"18.451647",-66.077003,San Juan,PR,San Juan
00908,"18.410462",-66.060533,San Juan,PR,San Juan
00909,"18.443384",-66.068133,San Juan,PR,San Juan
00910,"18.410462",-66.060533,San Juan,PR,San Juan
00911,"18.450828",-66.057859,San Juan,PR,San Juan
00912,"18.444187",-66.059859,San Juan,PR,San Juan
00913,"18.450735",-66.043352,San Juan,PR,San Juan
00914,"18.410462",-66.060533,San Juan,PR,San Juan
00915,"18.437896",-66.048087,San Juan,PR,San Juan
00916,"18.410462",-66.060533,San Juan,PR,San Juan
